"episodes_total","training.model.use_lstm: true - _step","training.model.use_lstm: true - _step__MIN","training.model.use_lstm: true - _step__MAX","training.model.use_lstm: true - episode_len_mean","training.model.use_lstm: true - episode_len_mean__MIN","training.model.use_lstm: true - episode_len_mean__MAX"
"5471","50","50","50","62.35","62.35","62.35"
"5474","50","50","50","68.52","68.52","68.52"
"5480","51","51","51","74.61","74.61","74.61"
"5495","51","51","51","67.28","67.28","67.28"
"5497","50","50","50","72.18","72.18","72.18"
"5507","52","52","52","62.75","62.75","62.75"
"5508","54","54","54","85.35","85.35","85.35"
"5514","52","52","52","61.76","61.76","61.76"
"5516","54","54","54","70.82","70.82","70.82"
"5526","51","51","51","66.82","66.82","66.82"
"5542","50","50","50","61.01","61.01","61.01"
"5548","51","51","51","62.52","62.52","62.52"
"5553","51","51","51","65.82","65.82","65.82"
"5569","50","50","50","64.29","64.29","64.29"
"5570","53","52","54","75.93","70.71","81.15"
"5595","52","52","52","75.77","75.77","75.77"
"5598","51","51","51","65.92","65.92","65.92"
"5604","51","51","51","59.01","59.01","59.01"
"5615","55","55","55","80.87","80.87","80.87"
"5618","52","52","52","67.53","67.53","67.53"
"5626","53","53","53","70.94","70.94","70.94"
"5629","51","51","51","58.05","58.05","58.05"
"5630","55","55","55","71.2","71.2","71.2"
"5650","53","53","53","60.11","60.11","60.11"
"5653","52","52","52","62.05","62.05","62.05"
"5671","55","55","55","85.9","85.9","85.9"
"5675","51.5","51","52","64.175","63.07","65.28"
"5681","51","51","51","74.61","74.61","74.61"
"5684","52.5","52","53","66.64500000000001","60.45","72.84"
"5709","53","53","53","76.62","76.62","76.62"
"5721","52","52","52","68.4","68.4","68.4"
